City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Sunshine,Air quailty,Population Density,Military,Latitude,Longitude
Mcallen,Texas,25.77372943,151,86,1350,Nah,11,883.4,FALSE,26.2252,-98.2467
Killeen,Texas,26.44370093,152,88.6,1000,Nah,7.4,1046.1,FALSE,31.0753,-97.7297
Santa Rosa,California,29.55665025,153,141.7,2600,Nah,10.9,1619.6,FALSE,38.4458,-122.7067
Albuquerque,New Mexico,13.5179385,154,92.9,1300,76,11.3,1155.5,FALSE,35.1054,-106.6465
Billings,Montana,40.82651228,155,95.7,1195,58,10,945,FALSE,45.7891,-108.5526
Columbus,Georgia,48.24120603,156,93.9,850,Nah,11.1,348.5,FALSE,32.51,-84.8771
Dayton,Ohio,50.01887101,157,88.4,764,53,9.9,971.7,FALSE,39.7805,-84.2003
Augusta,Georgia,38.35440326,158,100,950,Nah,12.1,252.3,FALSE,33.3645,-82.0708
Springfield,Missouri,93.11903566,159,106.5,850,58,10,784.1,FALSE,37.1943,-93.2916
Tucson,Arizona,39.60435761,160,97.7,1285,85,6.6,873.6,FALSE,32.1541,-110.8787
Corpus Christi,Texas,42.39948986,161,93.3,1500,59,8.7,777,FALSE,27.7254,-97.3767
Hartford,Connecticut,36.5904536,162,104.8,1100,58,8,2722.5,FALSE,41.7661,-72.6834
Topeka,Kansas,57.02916716,163,85.6,795,59,10.3,788.4,FALSE,39.0346,-95.6955
Waco,Texas,38.59297919,164,89.5,1150,Nah,7.4,599.5,FALSE,31.5599,-97.1882
Kansas City,Kansas,52.87278915,165,91.6,950,Nah,11.2,473.6,FALSE,39.1235,-94.7443
Riverside,California,66.15559341,166,116.1,2000,Nah,14.7,1557,FALSE,33.9381,-117.3949
Springfield,Massachusetts,93.11903566,167,106.5,1450,Nah,6.6,1861.8,FALSE,42.1155,-72.5395
Detroit,Michigan,62.68255408,168,93.2,850,52,12.4,1871.2,FALSE,42.3834,-83.1024
Las Cruces,New Mexico,40.77472952,169,88.8,1070,Nah,9.3,516.7,FALSE,32.3265,-106.7893
Odessa,Texas,39.73499206,170,92.7,2000,Nah,7.4,920,FALSE,31.8801,-102.3448
Memphis,Tennessee,80.2985809,171,88.2,942.5,63,9.2,852.1,FALSE,35.1087,-89.9663
Mobile,Alabama,141.06,172,88.3,900,Nah,7.7,525.9,FALSE,30.6782,-88.1162
Lakeland,Florida,31.89678983,173,96.4,1297,Nah,8.5,642.7,FALSE,28.0557,-81.9545
Evansville,Indiana,47.90144435,174,87.2,750,58,10.5,965.5,FALSE,37.9881,-87.5341
Montgomery,Alabama,15.0047674,175,88.5,875,58,7.9,480.8,FALSE,32.3482,-86.2668
Beaumont,Texas,46.62539431,176,88.6,1195,Nah,7.8,549.3,FALSE,30.0849,-94.1451
Port St. Lucie,Florida,9.973274232,177,101.1,1600,Nah,9,634,FALSE,27.2796,-80.3884
Visalia,California,33.23923207,178,103.6,1400,Nah,20.7,1352.8,FALSE,36.3276,-119.3269
Fresno,California,40.35,179,105.9,1395,76,17.2,1757.3,FALSE,36.783,-119.7939
Pueblo,Colorado,42.72074461,180,92.2,1050,78,6,768.2,FALSE,38.2701,-104.6114
